DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2014-03-12,0      ,1309.27,254.22 ,526.6 ,264.46
2014-03-13,0      ,1319.73,255.14 ,543.99,254.96
2014-03-14,0      ,1310.19,253.39 ,542.98,257.13
2014-03-15,0      ,1324.86,253.68 ,543.6 ,255.09
2014-03-16,0      ,1307.78,251.39 ,538.68,248.63
2014-03-17,0      ,1309.6 ,252.82 ,541.75,248.22
2014-03-18,0      ,1272.58,249.78 ,535.24,244.88
2014-03-19,0      ,1284.05,203.75 ,539.1 ,236.67
2014-03-20,0      ,1308.95,240.81 ,547.51,225.45
2014-03-21,0      ,1294.7 ,252.33 ,540.7 ,229.31
2014-03-22,0      ,598.56 ,155.75 ,302.51,192.31
2014-03-23,0      ,940.92 ,220.76 ,432.1 ,267.64
2014-03-24,0      ,246.43 ,89.41  ,106.91,24.01
2014-03-25,0      ,219.97 ,48.29  ,9.81  ,178.5
2014-03-26,0      ,1172.89,269    ,486.84,72.79
2014-03-27,0      ,497.54 ,89.6   ,164.78,197.56
2014-03-28,0      ,179.61 ,20.58  ,401.02,295.02
2014-03-29,0      ,357.54 ,103.6  ,140.74,190.24
2014-03-30,0      ,1111.8 ,234.42 ,487.12,343.28
2014-03-31,0      ,1261.62,247.62 ,530.62,232.99
2014-04-01,0      ,1260.09,246.51 ,528.32,244.15
2014-04-02,0      ,1262.15,247.15 ,529.68,243.97
2014-04-03,0      ,1266.28,248.03 ,531.58,244.72
2014-04-04,0      ,1280.31,206.64 ,539.14,248.08
2014-04-05,0      ,1286.67,210.29 ,539.2 ,245.44
2014-04-06,0      ,925.83 ,171.1  ,401.1 ,183.67
2014-04-07,0      ,52.88  ,12.44  ,428.03,208.02
2014-04-08,0      ,1040.68,198.5  ,543.96,240.57
2014-04-09,0      ,1217.92,209.39 ,573.63,249.1
2014-04-10,0      ,985.07 ,202.46 ,294.4 ,220.07
2014-04-11,0      ,1259.32,213.71 ,585.5 ,251.02
2014-04-12,0      ,1254.79,213.39 ,584.55,249.52
2014-04-13,0      ,1250.18,210.65 ,577.19,246.85
2014-04-14,0      ,1245.44,215.16 ,584.55,247.48
2014-04-15,0      ,1256.97,210.76 ,577.68,247.69
2014-04-16,0      ,1248.98,210.38 ,576.69,247.99
2014-04-17,0      ,1267.54,213    ,583.62,250.07
2014-04-18,0      ,1256.91,210.99 ,578   ,247.18
2014-04-19,0      ,1283.57,211.19 ,578.95,251.39
2014-04-20,0      ,1284.97,209.66 ,574.74,251
2014-04-21,0      ,1261.85,169.26 ,575.45,248.55
2014-04-22,631.47 ,1206.79,137.8  ,555.35,237.41
2014-04-23,1166.46,1278.99,151.04 ,581.4 ,217.96
2014-04-24,1549.81,833.38 ,200.67 ,714.49,192.44
2014-04-25,1248.7 ,1294.23,163.06 ,589.96,247.23
2014-04-26,1345.78,1280.42,173.54 ,583.71,244.07
2014-04-27,1349.56,1266.17,213.48 ,584.82,243.12
2014-04-28,1345.61,1295.64,212.63 ,582.58,245.97
2014-04-29,1279.46,1267.79,202.33 ,554.65,238.06
2014-04-30,1225.62,1256.92,196.8  ,539.32,230.51
2014-05-01,1212.9 ,1349.88,194.26 ,532.62,229.21
2014-05-02,1074.04,1350.61,193.48 ,530.32,227.49
2014-05-03,1044.17,1342.36,193.05 ,529.07,225.58
2014-05-04,970.2  ,1344.44,191.08 ,523.92,224.74
2014-05-05,946.12 ,1318.46,199.63 ,544.38,258.38
2014-05-06,1002.83,1292.56,196.51 ,535.8 ,254.05
